City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
0,puerto ayora,-0.7393,-90.3518,75.54,100,97,7.0,EC,2023-04-17 03:57:12
1,tarrafal,15.2833,-23.7667,74.19,87,76,15.32,CV,2023-04-17 03:57:13
2,sobolevo,54.4299,31.8996,41.95,93,100,4.88,RU,2023-04-17 03:57:13
3,dikson,73.5069,80.5464,5.99,99,100,11.07,RU,2023-04-17 03:57:13
4,spas-klepiki,55.1347,40.1767,42.46,48,100,3.65,RU,2023-04-17 03:57:14
5,namibe,-15.1961,12.1522,75.29,80,20,2.93,AO,2023-04-17 03:54:19
6,tucuma,-0.1833,-50.05,75.29,92,98,3.89,BR,2023-04-17 03:57:14
7,dwarka,22.2394,68.9678,82.67,68,0,8.77,IN,2023-04-17 03:57:15
8,port alfred,-33.5906,26.891,63.97,51,5,5.1,ZA,2023-04-17 03:57:15
9,umba,66.6871,34.3429,27.12,94,100,3.94,RU,2023-04-17 03:57:15
10,new norfolk,-42.7826,147.0587,67.5,62,90,5.99,AU,2023-04-17 03:57:16
11,manokwari,-0.8667,134.0833,83.41,78,95,9.75,ID,2023-04-17 03:57:17
12,alappuzha,9.49,76.3264,91.0,72,1,3.76,IN,2023-04-17 03:55:35
13,jamestown,42.097,-79.2353,48.52,97,100,14.97,US,2023-04-17 03:57:17
14,hithadhoo,-0.6,73.0833,83.88,66,28,2.19,MV,2023-04-17 03:57:18
15,ilulissat,69.2167,-51.1,0.09,98,37,4.76,GL,2023-04-17 03:47:21
16,jaslo,49.7451,21.4725,49.19,89,100,7.45,PL,2023-04-17 03:57:18
17,qaanaaq,77.484,-69.3632,-0.72,73,0,7.05,GL,2023-04-17 03:57:18
18,rikitea,-23.1203,-134.9692,79.59,82,46,10.22,PF,2023-04-17 03:57:19
19,ponta delgada,37.7333,-25.6667,61.52,77,75,10.36,PT,2023-04-17 03:57:19
20,buraydah,26.326,43.975,64.85,72,0,4.7,SA,2023-04-17 03:57:19
21,mataura,-46.1927,168.8643,65.53,61,98,1.41,NZ,2023-04-17 03:57:20
22,tyrma,50.0833,132.1667,52.48,25,5,2.24,RU,2023-04-17 03:57:20
23,leningradskiy,69.3833,178.4167,10.74,90,8,6.2,RU,2023-04-17 03:57:20
24,saint george,37.1041,-113.5841,70.39,22,0,4.0,US,2023-04-17 03:53:59
25,uchiza,-8.4592,-76.4633,71.98,97,100,1.7,PE,2023-04-17 03:57:21
26,severo-kurilsk,50.6789,156.125,35.47,98,100,16.42,RU,2023-04-17 03:57:21
27,ushuaia,-54.8,-68.3,37.06,70,75,6.91,AR,2023-04-17 03:54:21
28,avarua,-21.2078,-159.775,75.25,57,89,4.61,CK,2023-04-17 03:57:22
29,saint-philippe,-21.3585,55.7679,78.39,81,50,9.42,RE,2023-04-17 03:57:22
30,busselton,-33.65,115.3333,70.61,55,90,14.65,AU,2023-04-17 03:57:23
31,mar del plata,-38.0023,-57.5575,49.95,82,0,4.61,AR,2023-04-17 03:57:23
32,porbandar,21.6422,69.6093,83.8,61,0,6.6,IN,2023-04-17 03:57:23
33,harmanli,41.9333,25.9,50.92,87,100,3.04,BG,2023-04-17 03:57:24
34,provideniya,64.3833,-173.3,19.51,68,75,8.99,RU,2023-04-17 03:57:24
35,hobart,-42.8794,147.3294,67.86,56,40,9.22,AU,2023-04-17 03:57:15
36,yellowknife,62.456,-114.3525,39.72,56,20,16.11,CA,2023-04-17 03:57:24
37,barrow,71.2906,-156.7887,-0.38,71,0,9.22,US,2023-04-17 03:57:25
38,paarl,-33.7338,18.9752,59.02,30,2,4.14,ZA,2023-04-17 03:57:25
39,port elizabeth,-33.918,25.5701,52.09,93,0,2.3,ZA,2023-04-17 03:57:25
40,talakan,50.3167,130.3667,53.53,28,9,2.95,RU,2023-04-17 03:57:26
41,trofors,65.5333,13.4063,28.27,99,100,1.19,NO,2023-04-17 03:57:26
42,kapaa,22.0752,-159.319,80.58,79,0,6.91,US,2023-04-17 03:57:26
43,narasannapeta,18.4167,84.05,94.32,44,18,9.62,IN,2023-04-17 03:57:26
44,pelym,61.0108,61.9978,23.45,51,68,1.59,RU,2023-04-17 03:57:27
45,semporna,4.4818,118.6112,84.96,68,79,3.67,MY,2023-04-17 03:57:27
46,albany,42.6001,-73.9662,64.81,76,44,4.0,US,2023-04-17 03:53:48
47,korla,41.7597,86.1469,68.31,25,55,15.28,CN,2023-04-17 03:57:28
48,hofn,64.2539,-15.2082,46.67,99,100,17.2,IS,2023-04-17 03:57:28
49,bredasdorp,-34.5322,20.0403,55.69,81,8,4.07,ZA,2023-04-17 03:57:28
50,samarai,-10.6167,150.6667,83.3,66,100,4.72,PG,2023-04-17 03:57:28
51,punta arenas,-53.15,-70.9167,39.31,65,75,14.97,CL,2023-04-17 03:57:29
52,kiunga,-6.1219,141.2906,94.82,46,15,2.66,PG,2023-04-17 03:57:29
53,kodiak,57.79,-152.4072,35.11,75,100,12.66,US,2023-04-17 03:57:29
54,ulladulla,-35.35,150.4667,70.77,56,59,6.44,AU,2023-04-17 03:57:29
55,bluff,-46.6,168.3333,63.36,66,99,3.96,NZ,2023-04-17 03:57:29
56,tasiilaq,65.6145,-37.6368,33.67,93,100,29.12,GL,2023-04-17 03:57:30
57,opuwo,-18.0607,13.84,70.41,36,79,4.0,NA,2023-04-17 03:57:30
58,guerrero negro,27.9769,-114.0611,57.29,85,4,17.07,MX,2023-04-17 03:57:31
59,vila velha,-20.3297,-40.2925,72.95,89,20,2.3,BR,2023-04-17 03:53:02
60,hami,42.8,93.45,68.47,29,5,13.31,CN,2023-04-17 03:57:31
61,beringovskiy,63.05,179.3167,20.08,89,88,4.36,RU,2023-04-17 03:57:32
62,sao joao da barra,-21.6403,-41.0511,73.24,86,0,3.33,BR,2023-04-17 03:57:32
63,bongaree,-27.0797,153.1586,82.15,69,53,22.59,AU,2023-04-17 03:57:32
64,vaini,-21.2,-175.2,78.96,83,75,17.27,TO,2023-04-17 03:57:32
65,zhenlai,45.8495,123.2973,61.5,17,100,15.93,CN,2023-04-17 03:57:33
66,sola,-13.8833,167.55,84.87,74,75,6.91,VU,2023-04-17 03:57:33
67,kandrian,-6.2167,149.55,86.02,63,68,6.49,PG,2023-04-17 03:57:33
68,hobyo,5.3505,48.5268,82.78,74,23,8.46,SO,2023-04-17 03:57:34
69,coahuayana,18.7333,-103.6833,73.0,91,0,1.74,MX,2023-04-17 03:57:34
70,deputatskiy,69.3,139.9,15.31,86,90,2.73,RU,2023-04-17 03:57:34
71,noumea,-22.2763,166.4572,82.0,99,99,6.33,NC,2023-04-17 03:57:35
72,norman wells,65.282,-126.8329,24.84,74,75,5.75,CA,2023-04-17 03:57:35
73,pevek,69.7008,170.3133,10.49,83,47,2.48,RU,2023-04-17 03:57:35
74,mollendo,-17.0231,-72.0147,68.61,88,66,8.25,PE,2023-04-17 03:57:36
75,cape town,-33.9258,18.4232,62.38,84,4,8.01,ZA,2023-04-17 03:55:01
76,luderitz,-26.6481,15.1594,67.6,43,11,1.92,NA,2023-04-17 03:57:36
77,codrington,-38.2667,141.9667,66.76,64,75,12.33,AU,2023-04-17 03:57:36
78,lakselv,70.0513,24.9718,33.62,93,100,6.91,NO,2023-04-17 03:57:36
79,niono,14.2526,-5.993,80.65,8,0,9.4,ML,2023-04-17 03:57:37
80,bathsheba,13.2167,-59.5167,79.41,73,20,18.41,BB,2023-04-17 03:57:37
81,hit,33.6416,42.8251,69.73,36,9,5.03,IQ,2023-04-17 03:57:38
82,hermanus,-34.4187,19.2345,61.66,64,8,4.9,ZA,2023-04-17 03:57:38
83,hilo,19.7297,-155.09,76.73,81,40,11.5,US,2023-04-17 03:57:38
84,obidos,-1.9175,-55.5181,75.78,92,100,1.97,BR,2023-04-17 03:57:38
85,mitsamiouli,-11.3847,43.2844,81.34,75,9,3.87,KM,2023-04-17 03:57:39
86,castro,-24.7911,-50.0119,60.58,97,76,4.38,BR,2023-04-17 03:57:39
87,tongliao,43.6125,122.2653,62.89,20,100,23.67,CN,2023-04-17 03:57:39
88,atuona,-9.8,-139.0333,81.63,75,73,19.77,PF,2023-04-17 03:57:39
89,bethel,41.3712,-73.414,59.85,89,100,6.91,US,2023-04-17 03:57:39
90,traverse city,44.7631,-85.6206,42.91,86,100,14.97,US,2023-04-17 03:57:40
91,primorsk,46.7348,36.3443,44.76,56,52,28.32,UA,2023-04-17 03:57:40
92,waddan,29.1614,16.139,56.35,74,0,7.38,LY,2023-04-17 03:57:40
93,san quintin,30.4833,-115.95,56.61,86,15,13.44,MX,2023-04-17 03:57:40
94,tura,25.5198,90.2201,93.27,28,3,7.54,IN,2023-04-17 03:57:41
95,salalah,17.0151,54.0924,81.3,66,0,3.09,OM,2023-04-17 03:57:41
96,butaritari,3.0707,172.7902,82.72,77,69,10.63,KI,2023-04-17 03:57:41
97,kavieng,-2.5744,150.7967,82.94,75,96,10.25,PG,2023-04-17 03:57:41
98,chuy,-33.6971,-53.4616,59.76,72,87,8.01,UY,2023-04-17 03:57:41
99,tual,-5.6667,132.75,83.91,73,85,11.14,ID,2023-04-17 03:57:41
100,chapleau,47.8405,-83.4034,45.81,97,100,7.7,CA,2023-04-17 03:57:42
101,jeremoabo,-10.075,-38.4808,71.1,99,68,5.28,BR,2023-04-17 03:57:42
102,kruisfontein,-34.0033,24.7314,56.43,60,0,4.07,ZA,2023-04-17 03:53:41
103,mezen,65.8522,44.24,24.87,95,84,3.44,RU,2023-04-17 03:57:43
104,libertador general san martin,-23.8064,-64.7876,60.57,99,100,0.54,AR,2023-04-17 03:57:43
105,upernavik,72.7868,-56.1549,-4.59,100,99,7.45,GL,2023-04-17 03:57:43
106,teahupoo,-17.8333,-149.2667,78.76,73,18,6.33,PF,2023-04-17 03:57:44
107,chokurdakh,70.6333,147.9167,13.57,88,18,4.07,RU,2023-04-17 03:57:44
108,ibra,22.6906,58.5334,84.54,26,9,1.05,OM,2023-04-17 03:57:44
109,egvekinot,66.3167,-179.1667,11.01,83,69,3.29,RU,2023-04-17 03:57:44
110,alta floresta,-9.8756,-56.0861,73.08,94,94,3.04,BR,2023-04-17 03:57:44
111,fortuna,40.5982,-124.1573,50.67,86,85,3.33,US,2023-04-17 03:57:44
112,champerico,14.3,-91.9167,83.16,66,9,8.32,GT,2023-04-17 03:57:45
113,aklavik,68.2191,-135.0107,9.45,93,100,14.25,CA,2023-04-17 03:57:45
114,payyannur,12.1,75.2,88.12,65,34,3.36,IN,2023-04-17 03:57:45
115,novopokrovka,49.8425,36.5477,40.86,60,100,9.46,UA,2023-04-17 03:57:46
116,brigantine,39.4101,-74.3646,59.02,95,100,5.75,US,2023-04-17 03:57:46
117,okhotsk,59.3833,143.3,29.1,83,98,4.81,RU,2023-04-17 03:57:46
118,srednekolymsk,67.45,153.6833,28.58,86,41,5.17,RU,2023-04-17 03:57:46
119,mahebourg,-20.4081,57.7,80.26,94,75,2.3,MU,2023-04-17 03:57:47
120,lingao,19.9103,109.6859,86.16,64,50,5.86,CN,2023-04-17 03:57:47
121,bolobo,-2.1667,16.2333,72.07,94,100,2.64,CD,2023-04-17 03:57:48
122,darasun,51.6667,114.0,39.54,23,17,7.92,RU,2023-04-17 03:57:48
123,klyuchi,52.2667,79.1667,27.72,91,100,12.15,RU,2023-04-17 03:57:48
124,solnechnyy,50.7214,136.6319,39.99,51,34,7.23,RU,2023-04-17 03:57:49
125,klaksvik,62.2266,-6.589,49.12,98,100,18.16,FO,2023-04-17 03:57:49
126,victoria,22.2855,114.1577,84.43,75,7,11.01,HK,2023-04-17 03:57:49
127,portland,45.5234,-122.6762,46.99,73,56,7.0,US,2023-04-17 03:54:34
128,longyearbyen,78.2186,15.6401,33.64,93,75,8.05,SJ,2023-04-17 03:57:50
129,surgut,61.25,73.4167,-1.91,59,0,18.01,RU,2023-04-17 03:57:50
130,bartica,6.4,-58.6167,77.32,98,97,1.77,GY,2023-04-17 03:57:51
131,ketchikan,55.3422,-131.6461,43.27,75,100,11.5,US,2023-04-17 03:56:28
132,beatrice,40.2681,-96.747,45.27,55,0,4.61,US,2023-04-17 03:57:36
133,qianan,44.9932,124.0581,60.87,18,100,16.82,CN,2023-04-17 03:57:51
134,hasaki,35.7333,140.8333,66.6,51,65,9.08,JP,2023-04-17 03:57:52
135,souillac,-20.5167,57.5167,75.58,94,75,2.3,MU,2023-04-17 03:57:52
136,khatanga,71.9667,102.5,15.22,85,100,13.42,RU,2023-04-17 03:57:52
137,tarauaca,-8.1614,-70.7656,71.85,99,93,2.3,BR,2023-04-17 03:57:52
138,sept-iles,50.2001,-66.3821,36.12,66,100,5.75,CA,2023-04-17 03:57:52
139,athabasca,54.7169,-113.2854,50.41,60,83,15.12,CA,2023-04-17 03:57:53
140,georgetown,5.4112,100.3354,89.53,74,20,5.75,MY,2023-04-17 03:57:53
141,waipawa,-41.4122,175.5153,61.99,70,97,10.67,NZ,2023-04-17 03:57:53
